[2025-05-11 19:14:50] [INFO    ] discord.client: logging in using static token
[2025-05-11 19:14:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-11 19:14:50] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-11 19:14:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1370564572154433587', 'username': 'GamerBot2000', 'avatar': 'd6f68bc5248942db55c85db299d64b85', 'discriminator': '6793', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '3ce9bb6f0e5f189e28d6e81c1e348e70', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-11 19:14:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-11 19:14:50] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-11 19:14:50] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1370564572154433587', 'name': 'GamerBot2000', 'icon': 'd6f68bc5248942db55c85db299d64b85', 'description': '!cmds for commands', 'type': None, 'bot': {'id': '1370564572154433587', 'username': 'GamerBot2000', 'avatar': 'd6f68bc5248942db55c85db299d64b85', 'discriminator': '6793', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '3ce9bb6f0e5f189e28d6e81c1e348e70', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '5cb89ef035180621effeccc4c6437c73d0863819655867b0172db40afb10814a', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '633455643675590656', 'username': 'sirexez', 'avatar': '45dee54b5b8c03821ad3d20844e8a984', 'discriminator': '0', 'public_flags': 256, 'flags': 256, 'banner': None, 'accent_color': 0, 'global_name': 'GAMERMAN!!!!!!!!!!!!', 'avatar_decoration_data': {'asset': 'a_44d96dca4f514777925f23d841f36fac', 'sku_id': '1349486948942745695', 'expires_at': None}, 'collectibles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 2, 'approximate_user_install_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-bpbh",{"micros":0.0}]']}}
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-11 19:14:51] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
